ATENDIMENTO_BAIRRO_NOME,EQUIPAMENTO_URBANO_NOME,FLAG_EQUIPAMENTO_URBANO,FLAG_FLAGRANTE,LOGRADOURO_NOME_CURITIBA,NATUREZA1_DEFESA_CIVIL,NATUREZA1_DESCRICAO,SUBCATEGORIA1_DESCRICAO,NATUREZA2_DEFESA_CIVIL,NATUREZA2_DESCRICAO,SUBCATEGORIA2_DESCRICAO,NATUREZA3_DEFESA_CIVIL,NATUREZA3_DESCRICAO,SUBCATEGORIA3_DESCRICAO,NATUREZA4_DEFESA_CIVIL,NATUREZA4_DESCRICAO,SUBCATEGORIA4_DESCRICAO,NATUREZA5_DEFESA_CIVIL,NATUREZA5_DESCRICAO,SUBCATEGORIA5_DESCRICAO,OCORRENCIA_ANO,OCORRENCIA_CODIGO,OCORRENCIA_DATA,OCORRENCIA_DIA_SEMANA,OCORRENCIA_HORA,OCORRENCIA_MES,OPERACAO_DESCRICAO,ORIGEM_CHAMADO_DESCRICAO,REGIONAL_FATO_NOME,SECRETARIA_NOME
Centro,,f,NÃO,"Rua Francisco Torres, Curitiba, PR",0,Apoio,Apoio à FAS,,,,,,,,,,,,,2025,00011/2025,01/01/2025,Quarta,00:30:00,1,,IMEDIATA,Matriz,
Cajuru,,f,NÃO,"Rua Amador Bueno, Curitiba, PR",0,ZELADORIA URBANA,Furto Fiação Semáforos,,,,,,,,,,,,,2025,00014/2025,01/01/2025,Quarta,00:42:00,1,,REDE SOCIAL,Cajuru,
Santo Inácio,,f,NÃO,"Alameda Ecológica Burle Marx, Curitiba, PR",0,Roubo,Transeunte,,,,,,,,,,,,,2025,00001/2025,01/01/2025,Quarta,00:57:00,1,,153,Santa Felicidade,
São Francisco,,f,NÃO,"Rua Treze de Maio, Curitiba, PR",0,Furto,Veículo,,,,,,,,,,,,,2025,00015/2025,01/01/2025,Quarta,00:58:00,1,,153,Matriz,
Fazendinha,,f,NÃO,"Rua Maximiliano Boscardin, Curitiba, PR",0,Ameaça,,,,,,,,,,,,,,2025,00004/2025,01/01/2025,Quarta,01:05:00,1,,153,Portão,
Rebouças,,f,NÃO,"Avenida Iguaçu, Curitiba, PR",0,ZELADORIA URBANA,Furto Fiação Semáforos,,,,,,,,,,,,,2025,00008/2025,01/01/2025,Quarta,01:15:00,1,,REDE SOCIAL,Matriz,
Uberaba,,f,NÃO,"Rua Zulmira Bacila, Curitiba, PR",0,Lesão Corporal,Por arma branca,,,,,,,,,,,,,2025,00012/2025,01/01/2025,Quarta,01:21:00,1,,153,Cajuru,
Santo Inácio,,f,NÃO,"Alameda Ecológica Burle Marx, Curitiba, PR",0,Apoio,Apoio ao cidadão - ORIENTAÇÃO,,,,,,,,,,,,,2025,00018/2025,01/01/2025,Quarta,01:30:00,1,,IMEDIATA,Santa Felicidade,
Mercês,,f,NÃO,"Rua Brigadeiro Franco, Curitiba, PR",0,Apoio,Apoio à FAS,,,,,,,,,,,,,2025,00016/2025,01/01/2025,Quarta,01:32:00,1,,153,Matriz,
Jardim Botânico,,f,NÃO,"Embarque Ferroviário, Curitiba, PR",0,ZELADORIA URBANA,Furto Fiação Elétrica,,,,,,,,,,,,,2025,00017/2025,01/01/2025,Quarta,01:43:00,1,,153,Matriz,
Tatuquara,,f,NÃO,"Rua Odir Gomes da Rocha, Curitiba, PR",0,Invasão,Invasão de equipamento/patrimônio público,,,,,,,,,,,,,2025,00023/2025,01/01/2025,Quarta,02:20:00,1,,CCO MURALHA DIGITAL,Tatuquara,
Parolin,,f,NÃO,"Rua Lamenha Lins, Curitiba, PR",0,Trânsito,Estacionamento irregular,,,,,,,,,,,,,2025,00024/2025,01/01/2025,Quarta,02:26:00,1,,156,Portão,
Santa Quitéria,,f,NÃO,"Avenida Presidente Arthur da Silva Bernardes, Curitiba, PR",0,Apoio,Apoio ao cidadão - ORIENTAÇÃO,,,,,,,,,,,,,2025,00025/2025,01/01/2025,Quarta,03:22:00,1,,153,Portão,
Tatuquara,ESCOLA MUNICIPAL GOVERNADOR LEONEL DE MOURA BRIZOLA,t,NÃO,"Rua Antônio Zanon, Curitiba, PR",0,Invasão,Invasão de equipamento/patrimônio público,,,,,,,,,,,,,2025,00027/2025,01/01/2025,Quarta,04:20:00,1,,153,Tatuquara,Secretaria Municipal da Educação
Cidade Industrial,,f,NÃO,"Rua Maria Celestina Monteiro dos Santos, Curitiba, PR",0,Agressão física/verbal,Violência doméstica contra mulher,,,,,,,,,,,,,2025,00028/2025,01/01/2025,Quarta,04:54:00,1,,153,CIC,
Rebouças,,f,NÃO,"Rua Nunes Machado, Curitiba, PR",0,ZELADORIA URBANA,Furto de Cabos de Telefonia,,,,,,,,,,,,,2025,00029/2025,01/01/2025,Quarta,05:23:00,1,,153,Matriz,
Cidade Industrial,,f,NÃO,"Rua Senador Accioly Filho, Curitiba, PR",0,Invasão,Invasão de equipamento/patrimônio público,,,,,,,,,,,,,2025,00030/2025,01/01/2025,Quarta,06:17:00,1,,G5,CIC,
Centro,,f,NÃO,"Rua Voluntários da Pátria, Curitiba, PR",0,Desinteligência,,,,,,,,,,,,,,2025,00031/2025,01/01/2025,Quarta,06:44:00,1,,IMEDIATA,Matriz,
Cidade Industrial,,f,NÃO,"Rua Frei Eurico de Mello, Curitiba, PR",0,Trânsito,Estacionamento irregular,,,,,,,,,,,,,2025,00032/2025,01/01/2025,Quarta,07:12:00,1,,156,CIC,
São Francisco,,f,NÃO,"Praça Garibaldi, Curitiba, PR",0,Fundada Suspeita (Abordagem),Abordagem a pessoa,,,,,,,,,,,,,2025,00033/2025,01/01/2025,Quarta,07:20:00,1,,CCO MURALHA DIGITAL,Matriz,
Centro,,f,NÃO,"Rua XV de Novembro, Curitiba, PR",0,Dano,Vandalismo,,,,,,,,,,,,,2025,00035/2025,01/01/2025,Quarta,07:20:00,1,,IMEDIATA,Matriz,
Santa Felicidade,,f,NÃO,"Rua João Natal Slompo, Curitiba, PR",0,Agressão física/verbal,Violência doméstica contra mulher,,,,,,,,,,,,,2025,00034/2025,01/01/2025,Quarta,07:41:00,1,,153,Santa Felicidade,
Centro,,f,NÃO,"Rua Cândido de Leão, Curitiba, PR",0,Dano,Arrombamento,,,,,,,,,,,,,2025,00037/2025,01/01/2025,Quarta,08:00:00,1,,À VIATURA,Matriz,
Bigorrilho,,f,NÃO,"Rua Fernando Simas, Curitiba, PR",0,ZELADORIA URBANA,Furto de Cabos de Telefonia,,,,,,,,,,,,,2025,00036/2025,01/01/2025,Quarta,08:17:00,1,,153,Matriz,
Capão da Imbuia,,f,NÃO,"Marginal da Linha Verde, Curitiba, PR",0,Trânsito,PARADA EM CIMA DE PASSEIO/CALÇADA,,,,,,,,,,,,,2025,00038/2025,01/01/2025,Quarta,08:25:00,1,,156,Cajuru,
Jardim Botânico,,f,NÃO,"Rua Doutor Salvador de Maio, Curitiba, PR",0,Apoio,Apoio ao SAMU,,,,,,,,,,,,,2025,00039/2025,01/01/2025,Quarta,08:29:00,1,,SAMU,Matriz,
Centro,,f,NÃO,"Rua Riachuelo, Curitiba, PR",0,Fundada Suspeita (Abordagem),Abordagem a pessoa,,,,,,,,,,,,,2025,00045/2025,01/01/2025,Quarta,08:30:00,1,,IMEDIATA,Matriz,
Rebouças,,f,NÃO,"Avenida Presidente Affonso Camargo, Curitiba, PR",0,Tentativa,Tentativa de suicídio,,,,,,,,,,,,,2025,00040/2025,01/01/2025,Quarta,09:06:00,1,,CORPO DE BOMBEIROS,Matriz,
Santo Inácio,,f,NÃO,"Alameda Ecológica Burle Marx, Curitiba, PR",0,Apoio,Apoio ao SAMU,,,,,,,,,,,,,2025,00041/2025,01/01/2025,Quarta,09:15:00,1,,SAMU,Santa Felicidade,
Centro,,f,NÃO,"Praça Tiradentes, Curitiba, PR",0,Queima a céu aberto,,,,,,,,,,,,,,2025,00042/2025,01/01/2025,Quarta,10:03:00,1,,153,Matriz,
Rebouças,,f,NÃO,"Avenida Presidente Affonso Camargo, Curitiba, PR",0,Furto,Veículo,,,,,,,,,,,,,2025,00043/2025,01/01/2025,Quarta,10:30:00,1,,IMEDIATA,Matriz,
Jardim Botânico,CENTRO DE CONTROLE OPERACIONAL RODOFERROVIÁRIA,t,NÃO,"Avenida Presidente Affonso Camargo, Curitiba, PR",0,Fundada Suspeita (Abordagem),Abordagem a pessoa,,,,,,,,,,,,,2025,00044/2025,01/01/2025,Quarta,11:10:00,1,,IMEDIATA,Matriz,Secretaria Municipal de Defesa Social e Trânsito
Mercês,,f,NÃO,"Alameda Prudente de Moraes, Curitiba, PR",0,Fundada Suspeita (Abordagem),Abordagem a pessoa,,,,,,,,,,,,,2025,00046/2025,01/01/2025,Quarta,11:30:00,1,,IMEDIATA,Matriz,
Pinheirinho,ACADEMIA AO AR LIVRE ZUMBI DOS PALMARES,t,NÃO,"Rua Lothário Boutin, Curitiba, PR",0,Orientação,ORIENTAÇÃO GERAL,,,,,,,,,,,,,2025,00047/2025,01/01/2025,Quarta,12:03:00,1,,153,Pinheirinho,"Secretaria Municipal do Esporte, Lazer e Juventude"
Centro,,f,NÃO,"Rua Cândido Lopes, Curitiba, PR",0,Fundada Suspeita (Abordagem),Abordagem a pessoa,,,,,,,,,,,,,2025,00048/2025,01/01/2025,Quarta,12:30:00,1,,IMEDIATA,Matriz,
Centro,,f,NÃO,"Rua Luiz Leão, Curitiba, PR",0,Apoio,Apoio ao cidadão - PRESTAÇÃO DE SOCORRO/SALVAMENTO,,,,,,,,,,,,,2025,00052/2025,01/01/2025,Quarta,13:07:00,1,,IMEDIATA,Matriz,
Abranches,,f,NÃO,"Rua João Gava, Curitiba, PR",0,Ronda,,,,,,,,,,,,,,2025,00049/2025,01/01/2025,Quarta,13:40:00,1,,153,Boa Vista,
Augusta,MÓDULO DA GUARDA MUNICIPAL PARQUE PASSAÚNA,t,NÃO,"Rua Ângelo Marqueto, Curitiba, PR",0,Apoio,Apoio ao GM,,,,,,,,,,,,,2025,00054/2025,01/01/2025,Quarta,14:28:00,1,,IMEDIATA,CIC,Secretaria Municipal de Defesa Social e Trânsito
Cidade Industrial,,f,NÃO,"Rua Loricéia Antonello, Curitiba, PR",0,Trânsito,ESTACIONAR EM GUIA REBAIXADA,,,,,,,,,,,,,2025,00050/2025,01/01/2025,Quarta,14:36:00,1,,SETRAN,CIC,
Jardim Botânico,TERMINAL RODOVIÁRIO DE CURITBA,t,NÃO,"Avenida Presidente Affonso Camargo, Curitiba, PR",0,Desinteligência,,,,,,,,,,,,,,2025,00051/2025,01/01/2025,Quarta,14:41:00,1,,153,Matriz,Urbanização de Curitiba S.A.
Tatuquara,,f,NÃO,"Rua Jovenilson Americo de Oliveira, Curitiba, PR",0,Trânsito,REMOÇÃO DE VEICULO,,,,,,,,,,,,,2025,00058/2025,01/01/2025,Quarta,15:00:00,1,,À VIATURA,Tatuquara,
Bacacheri,,f,NÃO,"Ciclovia Parque Bacacheri, Curitiba, PR",0,Agressão física/verbal,Violência doméstica contra idoso,,,,,,,,,,,,,2025,00053/2025,01/01/2025,Quarta,15:07:00,1,,153,Boa Vista,
Cajuru,,f,NÃO,"Rua Wenceslau Teixeira Alves, Curitiba, PR",0,Averiguação (COSEDI),,,,,,,,,,,,,,2025,00055/2025,01/01/2025,Quarta,15:22:00,1,,199,Cajuru,
Sítio Cercado,,f,NÃO,"Rua Netuno, Curitiba, PR",0,Substância Ilícita,Uso de substância ilícita,,,,,,,,,,,,,2025,00056/2025,01/01/2025,Quarta,15:56:00,1,,153,Bairro Novo,
Pinheirinho,,f,NÃO,"Avenida Winston Churchill, Curitiba, PR",0,Fundada Suspeita (Abordagem),Abordagem a pessoa,,,,,,,,,,,,,2025,00059/2025,01/01/2025,Quarta,16:45:00,1,,156,Pinheirinho,
Uberaba,,f,NÃO,"Rua Maurício Thá, Curitiba, PR",0,Trânsito,PARADA EM CIMA DE PASSEIO/CALÇADA,,,,,,,,,,,,,2025,00060/2025,01/01/2025,Quarta,16:56:00,1,,156,Cajuru,
Vista Alegre,,f,NÃO,"Rua Ermelino Mariano Ribas, Curitiba, PR",0,Achado,Achado de arma,,,,,,,,,,,,,2025,00061/2025,01/01/2025,Quarta,16:57:00,1,,153,Santa Felicidade,
Seminário,,f,NÃO,"Rua Doutor Lauro Nery Canto, Curitiba, PR",0,Orientação,ORIENTAÇÃO GERAL,,,,,,,,,,,,,2025,00062/2025,01/01/2025,Quarta,17:02:00,1,,153,Portão,
Alto Boqueirão,CENTRO DA JUVENTUDE EUCALIPTOS,t,NÃO,"Rua Pastor Antônio Polito, Curitiba, PR",0,Dano,Vandalismo,,,,,,,,,,,,,2025,00063/2025,01/01/2025,Quarta,17:20:00,1,,153,Boqueirão,"Secretaria Municipal do Esporte, Lazer e Juventude"
Cidade Industrial,,f,NÃO,"Rua Lodovico Kaminski, Curitiba, PR",0,Dano,Vandalismo,,,,,,,,,,,,,2025,00065/2025,01/01/2025,Quarta,17:27:00,1,,153,CIC,
São Francisco,,f,NÃO,"Rua Desembargador Benvindo Valente, Curitiba, PR",0,Perturbação do sossego,,,,,,,,,,,,,,2025,00066/2025,01/01/2025,Quarta,17:42:00,1,,153,Matriz,
São Francisco,,f,NÃO,"Praça do Redentor, Curitiba, PR",0,Perturbação do sossego,,,,,,,,,,,,,,2025,00067/2025,01/01/2025,Quarta,17:42:00,1,,153,Matriz,
Santo Inácio,,f,NÃO,"Alameda Ecológica Burle Marx, Curitiba, PR",0,Orientação,ORIENTAÇÃO GERAL,,,,,,,,,,,,,2025,00068/2025,01/01/2025,Quarta,17:42:00,1,,153,Santa Felicidade,
Novo Mundo,,f,NÃO,"Avenida Presidente Wenceslau Braz, Curitiba, PR",0,Trânsito,PARADA EM CIMA DE PASSEIO/CALÇADA,,,,,,,,,,,,,2025,00069/2025,01/01/2025,Quarta,17:44:00,1,,SETRAN,Pinheirinho,
Novo Mundo,,f,NÃO,"Rua João Bonat, Curitiba, PR",0,Trânsito,PARADA EM CIMA DE PASSEIO/CALÇADA,,,,,,,,,,,,,2025,00071/2025,01/01/2025,Quarta,17:46:00,1,,SETRAN,Pinheirinho,
Novo Mundo,,f,NÃO,"Avenida República Argentina, Curitiba, PR",0,Trânsito,PARADA EM CIMA DE PASSEIO/CALÇADA,,,,,,,,,,,,,2025,00070/2025,01/01/2025,Quarta,17:46:00,1,,SETRAN,Pinheirinho,
Centro,,f,NÃO,"Rua Saldanha Marinho, Curitiba, PR",0,Apoio,Apoio à FAS,,,,,,,,,,,,,2025,00072/2025,01/01/2025,Quarta,18:01:00,1,,153,Matriz,
Capão Raso,,f,NÃO,"Rua Emanuel Kant, Curitiba, PR",0,Trânsito,PARADA EM CIMA DE PASSEIO/CALÇADA,,,,,,,,,,,,,2025,00074/2025,01/01/2025,Quarta,18:02:00,1,,SETRAN,Pinheirinho,
Cidade Industrial,,f,NÃO,"Rua Geraldino Ramiro dos Santos, Curitiba, PR",0,Agressão física/verbal,Violência doméstica contra mulher,,,,,,,,,,,,,2025,00073/2025,01/01/2025,Quarta,18:05:00,1,,153,CIC,
Capão Raso,,f,NÃO,"Rua Rodolpho Senff Júnior, Curitiba, PR",0,Trânsito,PARADA EM CIMA DE PASSEIO/CALÇADA,,,,,,,,,,,,,2025,00075/2025,01/01/2025,Quarta,18:09:00,1,,SETRAN,Pinheirinho,
Água Verde,,f,NÃO,"Rua Alferes Ângelo Sampaio, Curitiba, PR",0,Trânsito,ESTACIONAR EM GUIA REBAIXADA,,,,,,,,,,,,,2025,00076/2025,01/01/2025,Quarta,18:10:00,1,,SETRAN,Portão,
Campo Comprido,UNIDADE DE PRONTO ATENDIMENTO CAMPO COMPRIDO,t,NÃO,"Rua Monsenhor Ivo Zanlorenzi, Curitiba, PR",0,Apoio,Apoio à SMS,,,,,,,,,,,,,2025,00077/2025,01/01/2025,Quarta,18:31:00,1,,153,Portão,Secretaria Municipal da Saúde
Centro,,f,NÃO,"Rua São Francisco, Curitiba, PR",0,Furto,Transeunte,,,,,,,,,,,,,2025,00078/2025,01/01/2025,Quarta,19:04:00,1,,IMEDIATA,Matriz,
Uberaba,,f,NÃO,"Rua Caja Manga, Curitiba, PR",0,Trânsito,PARADA EM CIMA DE PASSEIO/CALÇADA,,,,,,,,,,,,,2025,00079/2025,01/01/2025,Quarta,19:07:00,1,,156,Cajuru,
Bacacheri,,f,NÃO,"Avenida Prefeito Erasto Gaertner, Curitiba, PR",0,Trânsito,ESTACIONAR EM GUIA REBAIXADA,,,,,,,,,,,,,2025,00080/2025,01/01/2025,Quarta,19:13:00,1,,SETRAN,Boa Vista,
Centro,,f,NÃO,"Rua Barão do Serro Azul, Curitiba, PR",0,Apoio,Apoio à FAS,,,,,,,,,,,,,2025,00081/2025,01/01/2025,Quarta,19:16:00,1,,153,Matriz,
Uberaba,,f,NÃO,"Rua Maurício Thá, Curitiba, PR",0,Trânsito,PARADA EM CIMA DE PASSEIO/CALÇADA,,,,,,,,,,,,,2025,00082/2025,01/01/2025,Quarta,19:40:00,1,,SETRAN,Cajuru,
Abranches,,f,NÃO,"Travevssa Lúcia Soppelsa de Boni, Curitiba, PR",0,Violação de Medida Protetiva Lei Maria da Penha,,,,,,,,,,,,,,2025,00083/2025,01/01/2025,Quarta,20:06:00,1,,153,Boa Vista,
São Francisco,,f,NÃO,"Rua do Rosário, Curitiba, PR",0,Fundada Suspeita (Abordagem),Abordagem a veículo,,,,,,,,,,,,,2025,00084/2025,01/01/2025,Quarta,20:49:00,1,,IMEDIATA,Matriz,
Centro,,f,NÃO,"Travessa Nestor de Castro, Curitiba, PR",0,Fundada Suspeita (Abordagem),Abordagem a veículo,,,,,,,,,,,,,2025,00085/2025,01/01/2025,Quarta,21:15:00,1,,IMEDIATA,Matriz,
São João,,f,NÃO,"Avenida Fredolin Wolf, Curitiba, PR",0,Apoio,Apoio ao cidadão - ORIENTAÇÃO,,,,,,,,,,,,,2025,00087/2025,01/01/2025,Quarta,21:40:00,1,,À VIATURA,Santa Felicidade,
Água Verde,,f,SIM,"Rua Alferes Ângelo Sampaio, Curitiba, PR",0,ZELADORIA URBANA,Furto de Cabos de Telefonia,,,,,,,,,,,,,2025,00088/2025,01/01/2025,Quarta,22:00:00,1,,IMEDIATA,Portão,
Centro,,f,NÃO,"Rua Doutor Faivre, Curitiba, PR",0,ZELADORIA URBANA,Furto Fiação Semáforos,,,,,,,,,,,,,2025,00086/2025,01/01/2025,Quarta,22:02:00,1,,SETRAN,Matriz,
Uberaba,,f,NÃO,"Conjunto Residencial Petrópolis, Curitiba, PR",0,Perturbação do sossego,,,,,,,,,,,,,,2025,00089/2025,01/01/2025,Quarta,22:54:00,1,,153,Cajuru,
Jardim Botânico,,f,NÃO,"Rua Brasílio Itiberê, Curitiba, PR",0,ZELADORIA URBANA,Furto Fiação Semáforos,,,,,,,,,,,,,2025,00090/2025,02/01/2025,Quinta,00:08:00,1,,FONE,Matriz,
Jardim Botânico,,f,NÃO,"Avenida Comendador Franco, Curitiba, PR",0,ZELADORIA URBANA,Furto Fiação Elétrica,,,,,,,,,,,,,2025,00091/2025,02/01/2025,Quinta,00:36:00,1,,153,Matriz,
Centro,,f,NÃO,"Rua Francisco Torres, Curitiba, PR",0,Apoio,Apoio à FAS,,,,,,,,,,,,,2025,00092/2025,02/01/2025,Quinta,00:44:00,1,,156,Matriz,
Portão,,f,NÃO,"Avenida da República, Curitiba, PR",0,Apoio,Apoio à outros órgãos,,,,,,,,,,,,,2025,00094/2025,02/01/2025,Quinta,02:01:00,1,,153,Portão,
Xaxim,CENTRO DE EDUCAÇÃO INTEGRAL DAVID CARNEIRO,t,NÃO,"Rua João Batista Zagonel Passos, Curitiba, PR",0,Invasão,Invasão de equipamento/patrimônio público,,,,,,,,,,,,,2025,00095/2025,02/01/2025,Quinta,02:53:00,1,,CCO MURALHA DIGITAL,Boqueirão,Secretaria Municipal da Educação
Vista Alegre,,f,NÃO,"Rua Major Virgolino Esmanhotto, Curitiba, PR",0,Trânsito,ESTACIONAR EM LOCAL/HORA PROIBIDO R-06A,,,,,,,,,,,,,2025,00096/2025,02/01/2025,Quinta,07:14:00,1,,156,Santa Felicidade,
Portão,TERMINAL PORTÃO,t,NÃO,"Avenida República Argentina, Curitiba, PR",0,Fundada Suspeita (Abordagem),Abordagem a pessoa,,,,,,,,,,,,,2025,00097/2025,02/01/2025,Quinta,07:38:00,1,,153,Portão,Urbanização de Curitiba S.A.
Centro,,f,NÃO,"Rua Senador Alencar Guimarães, Curitiba, PR",0,Orientação,ORIENTAÇÃO GERAL,,,,,,,,,,,,,2025,00098/2025,02/01/2025,Quinta,08:40:00,1,,À VIATURA,Matriz,
Centro,,f,NÃO,"Rua Presidente Carlos Cavalcanti, Curitiba, PR",0,Orientação,ORIENTAÇÃO GERAL,,,,,,,,,,,,,2025,00099/2025,02/01/2025,Quinta,09:22:00,1,,IMEDIATA,Matriz,
Xaxim,,f,NÃO,"Rua Desembargador João Antônio de Barros Júnior, Curitiba, PR",0,Queima a céu aberto,,,,,,,,,,,,,,2025,00101/2025,02/01/2025,Quinta,09:30:00,1,,153,Boqueirão,
Boqueirão,TERMINAL CARMO,t,NÃO,"Rua da Cidadania do Carmo, Curitiba, PR",0,Agressão física/verbal,Agressão,,,,,,,,,,,,,2025,00100/2025,02/01/2025,Quinta,09:32:00,1,,153,Boqueirão,Urbanização de Curitiba S.A.
Centro,ESTAÇÃO TUBO PRAÇA RUI BARBOSA 2,t,NÃO,"Canaleta Exclusiva BRT, Curitiba, PR",0,Apoio,Apoio à FAS,,,,,,,,,,,,,2025,00103/2025,02/01/2025,Quinta,10:00:00,1,,IMEDIATA,Matriz,Urbanização de Curitiba S.A.
São Braz,,f,NÃO,"Avenida Vereador Toaldo Túlio, Curitiba, PR",0,Trânsito,ESTACIONAR EM VAGA IDOSO SEM CREDENCIAL,,,,,,,,,,,,,2025,00102/2025,02/01/2025,Quinta,10:02:00,1,,SETRAN,Santa Felicidade,
Cascatinha,MÓDULO DA GUARDA MUNICIPAL PARQUE BARIGUÍ,t,NÃO,"Rua Bromélias, Curitiba, PR",0,Criança perdida/desaparecida,,,,,,,,,,,,,,2025,00105/2025,02/01/2025,Quinta,10:40:00,1,,IMEDIATA,Santa Felicidade,Secretaria Municipal de Defesa Social e Trânsito
Boa Vista,,f,NÃO,"Rua Lodovico Geronazzo, Curitiba, PR",0,Trânsito,Estacionamento irregular,,,,,,,,,,,,,2025,00104/2025,02/01/2025,Quinta,10:54:00,1,,SETRAN,Boa Vista,
Sítio Cercado,,f,NÃO,"Rua Edvald Ribas Borba, Curitiba, PR",0,Trânsito,ESTACIONAR/PARAR EM LOCAL PROIBIDO PLACA R-06C,,,,,,,,,,,,,2025,00107/2025,02/01/2025,Quinta,11:21:00,1,,156,Bairro Novo,
Tingui,TERMINAL SANTA CÂNDIDA,t,NÃO,"Avenida Marechal Mascarenhas de Moraes, Curitiba, PR",0,Atos obscenos/libidinosos,,,,,,,,,,,,,,2025,00108/2025,02/01/2025,Quinta,11:35:00,1,,153,Boa Vista,Urbanização de Curitiba S.A.
Capão da Imbuia,ESTAÇÃO TUBO VILA NOVA 1,t,NÃO,"Avenida Presidente Affonso Camargo, Curitiba, PR",0,Apoio,Apoio ao cidadão - PRESTAÇÃO DE SOCORRO/SALVAMENTO,,,,,,,,,,,,,2025,00111/2025,02/01/2025,Quinta,12:05:00,1,,À VIATURA,Cajuru,Urbanização de Curitiba S.A.
Água Verde,,f,NÃO,"Rua Brigadeiro Franco, Curitiba, PR",0,Fundada Suspeita (Abordagem),Abordagem a veículo,,,,,,,,,,,,,2025,00109/2025,02/01/2025,Quinta,12:08:00,1,,IMEDIATA,Portão,
Pilarzinho,,f,NÃO,"Rua Caetano Granato, Curitiba, PR",0,Trânsito,ESTACIONAR/PARAR EM LOCAL PROIBIDO PLACA R-06C,,,,,,,,,,,,,2025,00110/2025,02/01/2025,Quinta,12:14:00,1,,156,Boa Vista,
Orleans,,f,NÃO,"Rua Inêz Jacek, Curitiba, PR",0,Trânsito,PARADA EM CIMA DE PASSEIO/CALÇADA,,,,,,,,,,,,,2025,00112/2025,02/01/2025,Quinta,12:25:00,1,,156,Santa Felicidade,
Santa Cândida,UNIDADE DE ACOLHIMENTO INSTITUCIONAL - ABRIGO INSTITUCIONAL NOVA ESPERANÇA,t,NÃO,"Rua Francisco Favaro, Curitiba, PR",0,Apoio,Apoio à FAS,,,,,,,,,,,,,2025,00114/2025,02/01/2025,Quinta,12:30:00,1,,IMEDIATA,Boa Vista,Fundação de Ação Social
Parolin,,f,NÃO,"Rua Padre Isaias de Andrade, Curitiba, PR",0,Queima a céu aberto,,,,,,,,,,,,,,2025,00113/2025,02/01/2025,Quinta,12:43:00,1,,153,Portão,
Pilarzinho,UNIDADE DE ACOLHIMENTO INSTITUCIONAL - ABRIGO INSTITUCIONAL CASA DO PIÁ 2,t,NÃO,"Rua Miguel Lazzari, Curitiba, PR",0,Apoio,Apoio à FAS,,,,,,,,,,,,,2025,00115/2025,02/01/2025,Quinta,13:07:00,1,,153,Boa Vista,Fundação de Ação Social
Guabirotuba,,f,NÃO,"Rua do Ouro, Curitiba, PR",0,Dano,Desordem,,,,,,,,,,,,,2025,00116/2025,02/01/2025,Quinta,13:15:00,1,,153,Cajuru,
Santa Cândida,,f,NÃO,"Rua Antônio Ferreira Maciel, Curitiba, PR",0,Trânsito,Estacionamento irregular,,,,,,,,,,,,,2025,00117/2025,02/01/2025,Quinta,13:33:00,1,,SETRAN,Boa Vista,
Xaxim,,f,NÃO,"Rua André Ferreira Camargo, Curitiba, PR",0,Trânsito,PARADA EM CIMA DE PASSEIO/CALÇADA,,,,,,,,,,,,,2025,00118/2025,02/01/2025,Quinta,13:55:00,1,,SETRAN,Boqueirão,
Jardim Botânico,,f,NÃO,"Avenida Presidente Affonso Camargo, Curitiba, PR",0,Trânsito,COLISAO AUTO X AUTO,,,,,,,,,,,,,2025,00119/2025,02/01/2025,Quinta,14:00:00,1,,IMEDIATA,Matriz,
Centro,,f,NÃO,"Rua Senador Alencar Guimarães, Curitiba, PR",0,Apoio,Apoio à FAS,,,,,,,,,,,,,2025,00125/2025,02/01/2025,Quinta,14:30:00,1,,IMEDIATA,Matriz,
Centro,,f,NÃO,"Rua Lourenço Pinto, Curitiba, PR",0,Substância Ilícita,Uso de substância ilícita,,,,,,,,,,,,,2025,00120/2025,02/01/2025,Quinta,14:41:00,1,,153,Matriz,
Mossunguê,,f,NÃO,"Rua Paulo Gorski, Curitiba, PR",0,Trânsito,ESTACIONAR EM LOCAL/HORA PROIBIDO R-06A,,,,,,,,,,,,,2025,00121/2025,02/01/2025,Quinta,15:03:00,1,,156,Santa Felicidade,
Umbará,,f,NÃO,"Rua 2, Curitiba, PR",1,Fornecimento de Lona,,,,,,,,,,,,,,2025,00001/2025,02/01/2025,Quinta,15:11:00,1,,199,Bairro Novo,
Boa Vista,,f,NÃO,"Rua Lodovico Geronazzo, Curitiba, PR",0,Trânsito,Estacionamento irregular,,,,,,,,,,,,,2025,00122/2025,02/01/2025,Quinta,15:18:00,1,,156,Boa Vista,
Centro,,f,NÃO,"Rua São Francisco, Curitiba, PR",0,Substância Ilícita,Uso de substância ilícita,,,,,,,,,,,,,2025,00124/2025,02/01/2025,Quinta,15:47:00,1,,IMEDIATA,Matriz,
Água Verde,,f,NÃO,"Rua Alferes Ângelo Sampaio, Curitiba, PR",0,Queima a céu aberto,,,,,,,,,,,,,,2025,00126/2025,02/01/2025,Quinta,16:06:00,1,,153,Portão,
Pinheirinho,,f,NÃO,"Rua Izabel Raksa Voluz, Curitiba, PR",0,Dano,Vandalismo,,,,,,,,,,,,,2025,00127/2025,02/01/2025,Quinta,16:38:00,1,,153,Pinheirinho,
